Computation_Time,Train_Accuracy,Test_Accuracy
1467912395.575181, 0.14049999, 0.1294
1467912398.412181, 0.1768, 0.1723
1467912400.433246, 0.35870001, 0.34549999
1467912402.473035, 0.46869999, 0.4702
1467912405.391603, 0.51209998, 0.51429999
1467912407.557209, 0.60299999, 0.60360003
1467912410.39183, 0.60909998, 0.60650003
1467912412.447253, 0.62019998, 0.61330003
1467912415.320781, 0.64609998, 0.64200002
1467912417.361616, 0.68169999, 0.67699999
1467912419.394632, 0.70950001, 0.70410001
1467912421.404259, 0.74260002, 0.73989999
1467912423.455649, 0.78469998, 0.7784
1467912426.602075, 0.79579997, 0.78490001
1467912429.417875, 0.79869998, 0.79229999
1467912432.270876, 0.80409998, 0.7942
1467912435.127724, 0.8222, 0.8039
1467912437.149697, 0.82010001, 0.80680001
1467912439.918204, 0.81900001, 0.80900002
1467912442.817388, 0.83060002, 0.81739998
1467912444.828373, 0.8441, 0.82249999
1467912446.871771, 0.85039997, 0.82669997
1467912448.928309, 0.861, 0.83230001
1467912451.813994, 0.86479998, 0.8351
1467912453.83673, 0.86540002, 0.83609998
1467912456.777788, 0.8664, 0.83579999
1467912459.62046, 0.87410003, 0.84069997
1467912462.468713, 0.87660003, 0.83999997
1467912464.585499, 0.87489998, 0.84119999
1467912466.726442, 0.87699997, 0.84429997
1467912468.782483, 0.87959999, 0.84539998
1467912471.759599, 0.88340002, 0.84500003
1467912473.829085, 0.88249999, 0.84200001
1467912475.914811, 0.88489997, 0.84200001
1467912477.973375, 0.89389998, 0.84780002
1467912480.059062, 0.89709997, 0.84960002
1467912483.677387, 0.89670002, 0.85079998
1467912487.34255, 0.90079999, 0.85280001
1467912490.157894, 0.89969999, 0.85280001
1467912492.184773, 0.90200001, 0.852
1467912494.261812, 0.90020001, 0.85119998
1467912496.330297, 0.90240002, 0.85140002
1467912498.40927, 0.903, 0.85320002
1467912500.435656, 0.90210003, 0.85420001
1467912502.493185, 0.90319997, 0.85409999
1467912504.537845, 0.90689999, 0.85500002
1467912506.562913, 0.90759999, 0.85399997
1467912508.590289, 0.90609998, 0.85070002
1467912510.680087, 0.90679997, 0.85170001
1467912512.77457, 0.9084, 0.8527
1467912515.60747, 0.90719998, 0.85509998
1467912518.489936, 0.90630001, 0.85470003
1467912522.197518, 0.91070002, 0.85610002
1467912525.126075, 0.9095, 0.85549998
1467912527.976479, 0.91589999, 0.85589999
1467912530.81371, 0.91500002, 0.85610002
1467912533.66096, 0.91409999, 0.85589999
1467912536.583181, 0.91579998, 0.85509998
1467912538.770149, 0.91649997, 0.85509998
1467912541.632735, 0.91180003, 0.85610002
1467912544.534097, 0.91790003, 0.85829997
1467912546.692875, 0.9249, 0.85470003
1467912549.611996, 0.92400002, 0.8556
1467912551.661084, 0.92690003, 0.85829997
1467912553.769164, 0.9332, 0.86019999
1467912556.02001, 0.93449998, 0.85930002
1467912558.967551, 0.93440002, 0.85909998
1467912561.872141, 0.94099998, 0.8624
1467912564.924403, 0.94400001, 0.86250001
1467912567.091286, 0.94400001, 0.86309999
1467912569.19971, 0.94620001, 0.86330003
1467912571.375472, 0.94980001, 0.86479998
1467912574.481089, 0.95249999, 0.8653
1467912576.627078, 0.949, 0.86470002
1467912579.725553, 0.94739997, 0.8646
1467912582.724369, 0.95349997, 0.86549997
1467912585.827908, 0.95719999, 0.8653
1467912589.001034, 0.95609999, 0.86500001
1467912591.948256, 0.95429999, 0.86489999
1467912594.052681, 0.95319998, 0.86379999
1467912596.999616, 0.95609999, 0.86449999
1467912599.978574, 0.95660001, 0.86519998
1467912602.174527, 0.95639998, 0.8646
1467912605.120854, 0.95770001, 0.86610001
1467912607.209139, 0.9576, 0.86570001
1467912609.324017, 0.95539999, 0.86659998
1467912611.472196, 0.95679998, 0.86720002
1467912613.520673, 0.96069998, 0.86659998
1467912616.747277, 0.96219999, 0.86669999
1467912619.731694, 0.96350002, 0.86750001
1467912621.831487, 0.9648, 0.86720002
1467912623.897692, 0.96619999, 0.86769998
1467912626.881984, 0.96749997, 0.86739999
1467912629.049165, 0.96560001, 0.86760002
1467912632.001262, 0.96569997, 0.86720002
1467912634.145688, 0.96450001, 0.86729997
1467912637.21439, 0.96249998, 0.86769998
1467912641.009298, 0.96569997, 0.86699998
1467912644.028134, 0.96719998, 0.86699998
1467912647.005313, 0.96759999, 0.86699998
